-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2019 through 12/31/2020 
Location: Latitude  44.9612   Longitude 37.2849 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.77 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
2019,5,1,6.89,5.86
2019,5,2,7.05,3.97
2019,5,3,7.4,5.56
2019,5,4,7.74,7.66
2019,5,5,7.75,7.25
2019,5,6,6.84,3.35
2019,5,7,6.91,6.31
2019,5,8,6.64,1.66
2019,5,9,7.64,5.81
2019,5,10,7.9,7.73
2019,5,11,7.49,4.13
2019,5,12,7.11,1.91
2019,5,13,7.63,5.38
2019,5,14,7.93,7.82
2019,5,15,7.88,7.6
2019,5,16,8.09,7.93
2019,5,17,7.84,7.62
2019,5,18,7.67,6.95
2019,5,19,7.19,3.56
2019,5,20,7.53,5.09
2019,5,21,7.71,6.08
2019,5,22,7.68,5.97
2019,5,23,8.03,7.44
2019,5,24,7.78,6.92
2019,5,25,7.18,1.92
2019,5,26,7.78,5.75
2019,5,27,7.89,6.91
2019,5,28,8.33,8.32
2019,5,29,8.45,8.41
2019,5,30,8.23,7.52
2019,5,31,8.18,8.09
2019,6,1,8.12,8.0
2019,6,2,7.78,6.04
2019,6,3,7.65,7.09
2019,6,4,7.71,6.22
2019,6,5,7.99,7.86
2019,6,6,7.85,7.18
2019,6,7,7.74,7.27
2019,6,8,7.75,6.86
2019,6,9,7.94,7.68
2019,6,10,8.03,7.7
2019,6,11,7.76,6.92
2019,6,12,7.86,7.5
2019,6,13,7.63,6.46
2019,6,14,8.01,7.63
2019,6,15,7.94,7.36
2019,6,16,7.93,7.65
2019,6,17,8.13,8.0
2019,6,18,8.28,8.15
2019,6,19,8.38,8.34
2019,6,20,8.0,7.5
2019,6,21,8.11,7.81
2019,6,22,7.58,3.45
2019,6,23,7.54,6.08
2019,6,24,7.83,7.24
2019,6,25,8.02,7.82
2019,6,26,7.96,7.84
2019,6,27,8.2,8.07
2019,6,28,8.26,7.49
2019,6,29,7.99,6.78
2019,6,30,8.21,7.46
2019,7,1,8.07,7.61
2019,7,2,8.38,8.34
2019,7,3,8.25,8.11
2019,7,4,7.91,7.81
2019,7,5,8.26,8.16
2019,7,6,8.4,8.36
2019,7,7,8.07,7.86
2019,7,8,8.4,8.37
2019,7,9,8.0,7.74
2019,7,10,7.84,4.95
2019,7,11,7.8,3.86
2019,7,12,7.83,7.12
2019,7,13,7.83,6.89
2019,7,14,7.88,7.01
2019,7,15,7.41,2.14
2019,7,16,7.26,6.31
2019,7,17,7.83,7.5
2019,7,18,7.32,5.48
2019,7,19,7.43,7.32
2019,7,20,8.0,8.01
2019,7,21,7.06,5.42
2019,7,22,7.61,7.61
2019,7,23,7.69,7.61
2019,7,24,7.35,6.92
2019,7,25,7.18,4.43
2019,7,26,7.43,7.38
2019,7,27,7.41,7.25
2019,7,28,7.15,7.07
2019,7,29,7.3,7.19
2019,7,30,7.05,4.71
2019,7,31,6.93,6.83
2019,8,1,7.13,7.03
2019,8,2,7.22,6.21
2019,8,3,7.21,7.05
2019,8,4,7.02,5.18
2019,8,5,7.19,7.14
2019,8,6,7.15,6.97
2019,8,7,7.31,7.07
2019,8,8,7.44,7.33
2019,8,9,7.5,7.42
2019,8,10,7.0,6.79
2019,8,11,7.15,7.07
2019,8,12,7.34,7.35
2019,8,13,7.36,7.23
2019,8,14,7.36,7.27
2019,8,15,7.26,7.28
2019,8,16,6.02,3.09
2019,8,17,6.37,6.02
2019,8,18,6.26,3.74
2019,8,19,6.36,5.88
2019,8,20,6.2,5.82
2019,8,21,6.13,5.52
2019,8,22,6.3,4.8
2019,8,23,6.42,6.29
2019,8,24,6.2,6.14
2019,8,25,6.27,6.23
2019,8,26,6.58,6.6
2019,8,27,6.49,6.46
2019,8,28,6.6,6.55
2019,8,29,6.55,6.49
2019,8,30,6.22,6.18
2019,8,31,6.28,6.24
2019,9,1,6.33,6.34
2019,9,2,6.3,6.25
2019,9,3,6.27,6.21
2019,9,4,6.18,6.18
2019,9,5,5.71,5.06
2019,9,6,5.7,5.03
2019,9,7,5.62,5.29
2019,9,8,5.89,5.88
2019,9,9,5.99,5.98
2019,9,10,5.89,5.9
2019,9,11,5.75,5.75
2019,9,12,5.96,6.0
2019,9,13,5.77,5.78
2019,9,14,5.85,5.89
2019,9,15,5.39,5.28
2019,9,16,5.65,5.67
2019,9,17,5.42,5.34
2019,9,18,5.02,4.54
